STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,pct_wui,Shape_Length,Shape_Area
06,067,00277298,06067,Sacramento,Sacramento County,06,H1,G4020, , , ,A,2500063008.000000000000000,75323438.000000000000000,+38.4501363,-121.3443291,13.500000000000000,3.266242113451141,0.265777468399696
06,009,01675885,06009,Calaveras,Calaveras County,06,H1,G4020, , , ,A,2641837360.000000000000000,43789489.000000000000000,+38.1910682,-120.5541065,18.300000000000001,2.961850322547891,0.276235221150794
06,111,00277320,06111,Ventura,Ventura County,06,H1,G4020, , , ,A,4767585001.000000000000000,947376202.000000000000000,+34.3587477,-119.1331453,10.100000000000000,4.313596506675890,0.560023935520417
06,037,00277283,06037,Los Angeles,Los Angeles County,06,H1,G4020, , , ,A,10515988166.000000000000000,1785003207.000000000000000,+34.1963983,-118.2618616,13.400000000000000,7.285333589409854,1.203189196814306
06,097,01657246,06097,Sonoma,Sonoma County,06,H1,G4020, , , ,A,4080091725.000000000000000,497303747.000000000000000,+38.5251824,-122.9261095,26.199999999999999,4.056446962562158,0.472873607725592
06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020, , , ,A,10904539456.000000000000000,817287145.000000000000000,+33.0236041,-116.7761174,18.399999999999999,4.630704760180699,1.131338590501721
06,061,00277295,06061,Placer,Placer County,06,H1,G4020, , , ,A,3644336873.000000000000000,246435971.000000000000000,+39.0620323,-120.7227181,22.399999999999999,4.363180791894987,0.404936675823716
06,041,00277285,06041,Marin,Marin County,06,H1,G4020, , , ,A,1347890152.000000000000000,797077336.000000000000000,+38.0513667,-122.7463958,10.600000000000000,2.422524635460135,0.220179999258804
06,055,00277292,06055,Napa,Napa County,06,H1,G4020, , , ,A,1947606240.000000000000000,104444864.000000000000000,+38.5070999,-122.3259045,16.899999999999999,2.937320408437927,0.211936284529497
06,095,00277312,06095,Solano,Solano County,06,H1,G4020, , , ,A,2128287124.000000000000000,218615209.000000000000000,+38.2672255,-121.9395940,11.500000000000000,2.775799616906249,0.241598383096030
06,013,01675903,06013,Contra Costa,Contra Costa County,06,H1,G4020, , , ,A,1856752855.000000000000000,225364427.000000000000000,+37.9194790,-121.9515431,26.300000000000001,2.672415502315257,0.213351658006878
06,017,00277273,06017,El Dorado,El Dorado County,06,H1,G4020, , , ,A,4423288012.000000000000000,203364019.000000000000000,+38.7856116,-120.5342245,26.600000000000001,3.794702358685365,0.479626799434244
06,115,00277322,06115,Yuba,Yuba County,06,H1,G4020, , , ,A,1636887866.000000000000000,31084093.000000000000000,+39.2701300,-121.3442587,16.100000000000001,2.832244147027254,0.174096066824183
06,065,00277297,06065,Riverside,Riverside County,06,H1,G4020, , , ,A,18671846195.000000000000000,242807981.000000000000000,+33.7298275,-116.0022389,11.500000000000000,7.954489547878523,1.840351427204256
06,085,00277307,06085,Santa Clara,Santa Clara County,06,H1,G4020, , , ,A,3343892723.000000000000000,33595850.000000000000000,+37.2216142,-121.6895401,16.800000000000001,3.535188136848164,0.342944313613714
06,001,01675839,06001,Alameda,Alameda County,06,H1,G4020, , , ,A,1910010507.000000000000000,216909647.000000000000000,+37.6471385,-121.9124880,14.600000000000000,2.548777567521153,0.217152845184036
06,057,01682927,06057,Nevada,Nevada County,06,H1,G4020, , , ,A,2480587300.000000000000000,41531993.000000000000000,+39.2975082,-120.7713429,33.299999999999997,3.574967358532597,0.263367741235738
06,007,01675842,06007,Butte,Butte County,06,H1,G4020, , , ,A,4238488704.000000000000000,105260548.000000000000000,+39.6653362,-121.6032086,14.100000000000000,4.205814622156963,0.455941958433394
06,059,00277294,06059,Orange,Orange County,06,H1,G4020, , , ,A,2053491982.000000000000000,406263283.000000000000000,+33.6756872,-117.7772068,15.199999999999999,2.188129915800787,0.239145644587524
06,005,01675841,06005,Amador,Amador County,06,H1,G4020, , , ,A,1539967071.000000000000000,29437120.000000000000000,+38.4435493,-120.6538580,18.300000000000001,2.909838268940488,0.161954102270701
06,033,00277281,06033,Lake,Lake County,06,H1,G4020, , , ,A,3250647503.000000000000000,189100323.000000000000000,+39.1080094,-122.7452171,11.800000000000001,3.714093432862079,0.358180083060106
06,081,00277305,06081,San Mateo,San Mateo County,06,H1,G4020, , , ,A,1161882953.000000000000000,757162988.000000000000000,+37.4146725,-122.3715457,14.600000000000000,2.200037776250710,0.195376713004839
06,087,00277308,06087,Santa Cruz,Santa Cruz County,06,H1,G4020, , , ,A,1152818088.000000000000000,419720203.000000000000000,+37.0123466,-122.0077889,37.500000000000000,2.304140971659534,0.159235982595332
